Table A.2
Molecular Features

   H_{2} 1-0

4712.9   S1

      CN 0-2

4602.002 Q_{1}16.5
4603.517 P_{1}7.5
4605.920 R_{1}31.5
4606.251 Q_{1}15.5
4606.836 R_{2}32.5                     
4607.943 blend
4610.172 Q_{1}14.5
4611.663 R_{1}30.5
4613.301 P_{2}10.5
4613.515 R_{2}31.5
4613.751 Q_{1}13.5
4614.069 Q_{2}17.5
4615.460 P_{1}4.5
4617.040 blend
4619.886 blend
4622.216 R_{1}28.5
4622.431 Q_{1}10.5
4624.623 Q_{1}9.5
4626.009 R_{2}29.5
4626.459 Q_{1}8.5
4627.025 R_{1}27.5
4627.938 blend
4630.077 Q_{1} head                    
4630.655 Q_{2}14.5
4631.522 R_{1}26.5
4631.820 R_{2}28.5
4635.689 blend
4637.343 R_{2}27.5
4639.580 R_{1}24.5
4640.442 Q_{2}12.5                     
4642.582 R_{2}26.5
4643.142 R_{1}23.5
4644.963 Q_{2}11.5
4646.351 R_{1}22.5
4647.540 R_{2}25.5
4649.236 Q_{2}10.5
4649.304 R_{1}21.5
4651.904 R_{1}20.5
4652.207 R_{2}24.5
4653.277 Q_{2}9.5
4654.190 R_{1}19.5
4656.150 R_{1}18.5
4656.593 R_{2}23.5
4657.789 R_{1}17.5
4659.094 R_{1}16.5
4660.679 blend
4661.018 R_{1} head                    
4664.514 R_{2}21.5                     
4667.163 Q_{2}5.5
4668.060 R_{2}20.5
4670.091 Q_{2}4.5
4671.324 R_{2}19.5
4674.316 R_{2}18.5
4675.328 Q_{2}2.5                      
4677.033 R_{2}17.5
4679.488 R_{2}16.5
4683.578 R_{2}14.5
4685.232 R_{2}13.5
4686.628 R_{2}12.5
4687.770 R_{2}11.5
4688.663 R_{2}10.5
4689.890 R_{2} head

CN blends

4370.949
4411.937
4427.209
4440.582
4450.492
4471.671
4482.648
4494.038
4503.494
4514.131
4533.953
4540.107
4566.008
4569.632
4575.888
4588.256
4592.509
4605.568
4620.708
4625.441
4628.955
4641.382
4652.757
4657.054
4660.679
4664.037
4674.655
4743.674
4745.126
4764.307
4771.238
4781.800
4794.623
4795.668
4796.157
4798.659
4808.101
4815.105
4821.578
4844.585
4854.144
4854.452
4856.077
4886.902

  ^{12}C^{16}O 2-0

4154.211 P23
4159.559 P22
4164.841 P21
4170.055 P20
4175.202 P19
4180.283 P18
4185.295 P17
4190.240 P16
4195.118 P15
4199.928 P14
4204.669 P13
4209.343 P12
4213.949 P11
4218.486 P10
4222.954 P9
4227.354 P8
4231.685 P7
4235.947 P6
4240.140 P5
4244.263 P4
4248.318 P3
4252.302 P2
4256.217 P1
4263.837 R0
4267.542 R1
4271.177 R2
4274.319 R97
4274.741 R3
4278.032 R96
4278.234 R4
4281.657 R5
4281.661 R95
4285.009 R6
4285.206 R94
4288.290 R7
4288.666 R93
4291.499 R8
4292.043 R92
4294.638 R9
4295.336 R91
4297.705 R10
4298.545 R90
4300.700 R11
4301.670 R89
4303.623 R12
4304.712 R88
4306.475 R13
4307.671 R87
4309.254 R14
4310.547 R86
4311.962 R15
4313.340 R85
4314.597 R16
4316.051 R84
4317.159 R17
4318.679 R83
4319.649 R18
4321.224 R82
4322.066 R19
4323.687 R81
4324.410 R20
4326.069 R80
4326.681 R21
4328.368 R79
4328.879 R22
4330.585 R78
4331.003 R23
4332.721 R77
4333.054 R24
4334.776 R76
4335.031 R25
4336.749 R75
4336.934 R26
4338.641 R74
4338.764 R27
4340.452 R73
4340.519 R28
4342.182 R72
4342.200 R29
4343.807 R30
4343.831 R71
4345.339 R31
4345.400 R70
4346.796 R32
4346.889 R69
4348.179 R33
4348.297 R68
4349.486 R34
4349.625 R67
4350.719 R35
4350.873 R66
4351.876 R36
4352.042 R65
4352.958 R37
4353.131 R64
4353.964 R38
4354.140 R63
4354.895 R39
4355.070 R62
4355.749 R40
4355.920 R61
4356.528 R41
4356.692 R60
4357.231 R42
4357.385 R59
4357.857 R43
4357.999 R58
4358.407 R44
4358.534 R57
4358.880 R45
4358.991 R56
4359.277 R46
4359.370 R55
4359.597 R47
4359.670 R54
4359.839 R48
4359.893 R53
4360.005 R49
4360.037 R52
4360.093 R50
4360.104 R51

  ^{12}C^{16}O 3-1

4152.231 P13
4156.869 P12
4161.440 P11
4165.942 P10
4170.375 P9
4174.740 P8
4179.036 P7
4183.263 P6
4187.421 P5
4191.509 P4
4195.528 P3
4199.478 P2
4203.358 P1
4210.908 R0
4214.578 R1
4218.177 R2
4221.707 R3
4225.165 R4
4225.363 R95
4228.553 R5
4228.945 R94
4231.870 R6
4232.443 R93
4235.116 R7
4235.857 R92
4238.290 R8
4239.187 R91
4241.394 R9
4242.433 R90
4244.426 R10
4245.595 R89
4247.386 R11
4248.674 R88
4250.275 R12
4251.670 R87
4253.091 R13
4254.583 R86
4255.836 R14
4257.413 R85
4258.508 R15
4260.160 R84
4261.108 R16
4262.824 R83
4263.636 R17
4265.406 R82
4266.090 R18
4267.906 R81
4268.472 R19
4270.323 R80
4270.782 R20
4272.659 R79
4273.018 R21
4274.913 R78
4275.181 R22
4277.085 R77
4277.270 R23
4279.175 R76
4279.286 R24
4281.184 R75
4281.228 R25
4283.097 R26
4283.112 R74
4284.891 R27
4284.959 R73
4286.611 R28
4286.725 R72
4288.258 R29
4288.411 R71
4289.829 R30
4290.015 R70
4291.327 R31
4291.540 R69
4292.749 R32
4292.983 R68
4294.097 R33
4294.347 R67
4295.369 R34
4295.631 R66
4296.567 R35
4296.835 R65
4297.689 R36
4297.959 R64
4298.736 R37
4299.004 R63
4299.707 R38
4299.970 R62
4300.603 R39
4300.856 R61
4301.423 R40
4301.663 R60
4302.167 R41
4302.391 R59
4302.834 R42
4303.040 R58
4303.425 R43
4303.611 R57
4303.940 R44
4304.103 R56
4304.379 R45
4304.517 R55
4304.740 R46
4304.853 R54
4305.025 R47
4305.110 R53
4305.232 R48
4305.290 R52
4305.363 R49
4305.392 R51
4305.416 R50

  ^{12}C^{16}O 4-2

4150.632 P1
4158.112 R0
4161.747 R1
4165.312 R2
4168.806 R3
4172.229 R4
4175.582 R5
4178.864 R6
4182.075 R7
4185.215 R8
4188.283 R9
4191.280 R10
4194.206 R11
4197.059 R12
4199.841 R13
4201.620 R85
4202.550 R14
4204.404 R84
4205.188 R15
4207.105 R83
4207.753 R16
4209.723 R82
4210.246 R17
4212.259 R81
4212.666 R18
4214.713 R80
4215.013 R19
4217.085 R79
4217.287 R20
4219.375 R78
4219.488 R21
4221.583 R77
4221.616 R22
4223.671 R23
4223.709 R76
4225.652 R24
4225.755 R75
4227.559 R25
4227.719 R74
4229.393 R26
4229.601 R73
4231.152 R27
4231.403 R72
4232.838 R28
4233.124 R71
4234.449 R29
4234.765 R70
4235.986 R30
4236.325 R69
4237.448 R31
4237.804 R68
4238.836 R32
4239.204 R67
4240.148 R33
4240.523 R66
4241.386 R34
4241.763 R65
4242.549 R35
4242.922 R64
4243.636 R36
4244.003 R63
4244.648 R37
4245.003 R62
4245.584 R38
4245.925 R61
4246.445 R39
4246.767 R60
4247.230 R40
4247.531 R59
4247.939 R41
4248.215 R58
4248.571 R42
4248.821 R57
4249.128 R43
4249.349 R56
4249.607 R44
4249.798 R55
4250.011 R45
4250.169 R54
4250.337 R46
4250.462 R53
4250.587 R47
4250.676 R52
4250.759 R48
4250.813 R51
4250.855 R49
4250.873 R50

  ^{12}C^{16}O 5-3

4151.524 R83
4152.005 R15
4154.179 R82
4154.535 R16
4156.751 R81
4156.993 R17
4159.241 R80
4159.378 R18
4161.649 R79
4161.690 R19
4163.929 R20
4163.975 R78
4166.096 R21
4166.220 R77
4168.189 R22
4168.382 R76
4170.208 R23
4170.463 R75
4172.154 R24
4172.463 R74
4174.027 R25
4174.382 R73
4175.826 R26
4176.219 R72
4177.550 R27
4177.976 R71
4179.201 R28
4179.652 R70
4180.777 R29
4181.248 R69
4182.279 R30
4182.763 R68
4183.707 R31
4184.198 R67
4185.059 R32
4185.553 R66
4186.337 R33
4186.828 R65
4187.540 R34
4188.023 R64
4188.668 R35
4189.139 R63
4189.720 R36
4190.175 R62
4190.697 R37
4191.132 R61
4191.599 R38
4192.010 R60
4192.424 R39
4192.809 R59
4193.174 R40
4193.529 R58
4193.848 R41
4194.170 R57
4194.446 R42
4194.732 R56
4194.967 R43
4195.217 R55
4195.412 R44
4195.623 R54
4195.780 R45
4195.951 R53
4196.072 R46
4196.201 R52
4196.286 R47
4196.373 R51
4196.424 R48
4196.467 R50
4196.484 R49

  ^{13}C^{16}O 2-0

4151.724 P4
4155.596 P3
4159.402 P2
4163.143 P1
4170.430 R0
4173.974 R1
4177.454 R2
4180.867 R3
4184.215 R4
4187.496 R5
4190.711 R6
4193.860 R7
4196.942 R8
4199.957 R9
4201.716 R93
4202.906 R10
4204.776 R92
4205.788 R11
4207.757 R91
4208.603 R12
4210.661 R90
4211.351 R13
4213.487 R89
4214.031 R14
4216.236 R88
4216.644 R15
4218.906 R87
4219.189 R16
4221.500 R86
4221.667 R17
4224.017 R85
4224.077 R18
4226.419 R19
4226.456 R84
4228.692 R20
4228.819 R83
4230.898 R21
4231.105 R82
4233.035 R22
4233.314 R81
4235.104 R23
4235.447 R80
4237.103 R24
4237.504 R79
4239.035 R25
4239.484 R78
4240.897 R26
4241.388 R77
4242.690 R27
4243.217 R76
4244.414 R28
4244.970 R75
4246.069 R29
4246.647 R74
4247.654 R30
4248.249 R73
4249.170 R31
4249.775 R72
4250.616 R32
4251.226 R71
4251.992 R33
4252.602 R70
4253.299 R34
4253.904 R69
4254.535 R35
4255.130 R68
4255.701 R36
4256.282 R67
4256.796 R37
4257.359 R66
4257.821 R38
4258.362 R65
4258.775 R39
4259.291 R64
4259.659 R40
4260.146 R63
4260.472 R41
4260.926 R62
4261.214 R42
4261.633 R61
4261.884 R43
4262.266 R60
4262.483 R44
4262.826 R59
4263.011 R45
4263.312 R58
4263.467 R46
4263.725 R57
4263.852 R47
4264.065 R56
4264.165 R48
4264.331 R55
4264.405 R49
4264.525 R54
4264.574 R50
4264.646 R53
4264.671 R51
4264.695 R52

  ^{13}C^{16}O 3-1

4151.135 R92
4151.979 R10
4154.151 R91
4154.828 R11
4157.089 R90
4157.610 R12
4159.950 R89
4160.325 R13
4162.732 R88
4162.973 R14
4165.438 R87
4165.553 R15
4168.066 R16
4168.066 R86
4170.511 R17
